park_id,park_name,country,province,city,latitude,longitude,range_check,precision,boundary_note
NAT-001,北京经济技术开发区,中国,北京市,北京市,39.79,116.5,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-002,天津经济技术开发区,中国,天津市,天津市,39.03,117.71,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-003,天津港保税区,中国,天津市,天津市,39.0,117.75,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-004,河北保定高新技术产业开发区,中国,河北省,保定市,38.87,115.47,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-005,河北沧州沧东经济开发区,中国,河北省,沧州市,38.3,116.9,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-006,河北唐山乐亭经济开发区,中国,河北省,唐山市,39.43,118.91,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-007,山西大同经济技术开发区,中国,山西省,大同市,40.08,113.3,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-008,山西阳泉高新技术产业开发区,中国,山西省,阳泉市,37.86,113.58,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-009,内蒙古鄂尔多斯蒙苏经济开发区,中国,内蒙古自治区,鄂尔多斯市,39.57,109.75,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-010,内蒙古包头稀土高新技术产业开发区,中国,内蒙古自治区,包头市,40.66,109.84,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-011,辽宁沈阳中德高端装备制造产业园,中国,辽宁省,沈阳市,41.75,123.19,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-012,吉林松原石油化学工业循环经济园区,中国,吉林省,松原市,45.13,124.82,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-013,吉林辽源高新技术产业开发区,中国,吉林省,辽源市,42.9,125.14,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-014,吉林四平新型工业化经济开发区,中国,吉林省,四平市,43.17,124.38,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-015,黑龙江七台河江河融合绿色智造产业园区,中国,黑龙江省,七台河市,45.77,131.0,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-016,黑龙江绥化安达经济开发区精细化工产业园,中国,黑龙江省,绥化市,46.4,125.33,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-017,上海临港新片区零碳湾,中国,上海市,上海市,30.9,121.92,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-018,江苏盐城大丰港经济开发区,中国,江苏省,盐城市,33.2,120.47,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-019,江苏常州溧阳高新技术产业开发区,中国,江苏省,常州市,31.42,119.48,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-020,浙江台州温岭经济开发区,中国,浙江省,台州市,28.37,121.36,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-021,安徽宣城广德经济开发区,中国,安徽省,宣城市,30.89,119.42,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-022,安徽阜阳经济开发区,中国,安徽省,阜阳市,32.9,115.82,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-023,福建厦门火炬高技术产业开发区同翔高新城,中国,福建省,厦门市,24.7,118.23,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
NAT-024,福建宁德福鼎工业园区,中国,福建省,宁德市,27.32,120.22,通过,园区或所在片区近似中心,点位仅用于导航，不代表四至边界
